id,subject,grade,topic,subtopic,language,type,question,answer,keypoints
CHEM-001,Chemistry,M4,Measurement,Unit Conversion,EN,quick-answer,Convert 2500 mg into grams.,"Since 1000 mg = 1 g, divide by 1000. Therefore 2500 mg = 2.5 g.",Convert mg to g; divide by 1000; final answer 2.5 g
CHEM-002,Chemistry,M4,โครงสร้างอะตอม,องค์ประกอบของอะตอม,TH,concept-focused,อธิบายโครงสร้างของอะตอม,อะตอมประกอบด้วยนิวเคลียสซึ่งมีโปรตอนและนิวตรอนอยู่ภายใน ส่วนอิเล็กตรอนเคลื่อนที่อยู่รอบนิวเคลียส โปรตอนมีประจุบวก นิวตรอนไม่มีประจุ และอิเล็กตรอนมีประจุลบ,โปรตอน; นิวตรอน; อิเล็กตรอน; นิวเคลียส; ประจุไฟฟ้า
CHEM-003,Chemistry,M4,Atomic Structure,Isotopes,EN,homework-help,Carbon-14 contains 6 protons and 8 neutrons. Determine its mass number and explain why it is an isotope.,Mass number = protons + neutrons = 6 + 8 = 14. Carbon-14 is an isotope because it has the same number of protons as other carbon atoms but a different number of neutrons.,Mass number calculation; 6+8=14; definition of isotope; same proton number; different neutron number
CHEM-004,Chemistry,M4,ตารางธาตุ,แนวโน้มในตารางธาตุ,TH,exam-prep,สรุปแนวโน้มสำคัญในตารางธาตุสำหรับเตรียมสอบ,รัศมีอะตอมมีแนวโน้มลดลงจากซ้ายไปขวาและเพิ่มขึ้นจากบนลงล่าง พลังงานไอออไนเซชันและอิเล็กโตรเนกาติวิตีมีแนวโน้มเพิ่มขึ้นจากซ้ายไปขวาและลดลงจากบนลงล่าง,รัศมีอะตอม; พลังงานไอออไนเซชัน; อิเล็กโตรเนกาติวิตี; แนวโน้มในตารางธาตุ
CHEM-005,Chemistry,M4,Electron Configuration,Electron Arrangement,EN,quick-answer,"Write the electron configuration of sodium (Na, atomic number 11).","The electron configuration of sodium is 2, 8, 1.","Atomic number 11; electron arrangement; 2,8,1"
CHEM-006,Chemistry,M4,พันธะเคมี,พันธะไอออนิกและโคเวเลนต์,TH,concept-focused,อธิบายความแตกต่างระหว่างพันธะไอออนิกและพันธะโคเวเลนต์,พันธะไอออนิกเกิดจากการถ่ายโอนอิเล็กตรอนระหว่างอะตอม ส่วนพันธะโคเวเลนต์เกิดจากการใช้อิเล็กตรอนร่วมกันระหว่างอะตอม,พันธะไอออนิก; ถ่ายโอนอิเล็กตรอน; พันธะโคเวเลนต์; ใช้อิเล็กตรอนร่วมกัน
CHEM-007,Chemistry,M4,Molecular Geometry,VSEPR Theory,EN,exam-prep,Summarize the basic molecular shapes predicted by VSEPR theory.,"VSEPR theory predicts molecular shape based on electron pair repulsion. Common shapes include linear, bent, trigonal planar, tetrahedral, trigonal pyramidal, and octahedral.",VSEPR theory; electron pair repulsion; common molecular shapes
CHEM-008,Chemistry,M5,โมล,การคำนวณจำนวนโมล,TH,homework-help,จงหาจำนวนโมลของน้ำ 36 g (H₂O = 18 g/mol),จำนวนโมล = มวล / มวลโมลาร์ = 36 / 18 = 2 mol,สูตร n=m/M; มวลโมลาร์; คำนวณ 36/18; 2 mol
CHEM-009,Chemistry,M5,Stoichiometry,Mole Ratio,EN,quick-answer,How many moles of oxygen are needed to completely react with 2 moles of hydrogen according to 2H₂ + O₂ → 2H₂O?,"From the equation, 2 moles of H₂ react with 1 mole of O₂. Therefore 1 mole of oxygen is required.",Balanced equation; mole ratio; 2:1 ratio; answer 1 mole O₂
CHEM-010,Chemistry,M5,แก๊ส,กฎแก๊สอุดมคติ,TH,concept-focused,อธิบายสมการแก๊สอุดมคติ,สมการแก๊สอุดมคติคือ PV=nRT โดย P คือความดัน V คือปริมาตร n คือจำนวนโมล R คือค่าคงที่ของแก๊ส และ T คืออุณหภูมิสัมบูรณ์,PV=nRT; ความดัน; ปริมาตร; โมล; อุณหภูมิ
