id,subject,grade,topic,subtopic,language,type,question,answer,keypoints
BIO-001,Biology,M4,Cell Biology,Cell Structure,EN,quick-answer,What is the main function of the cell membrane?,The cell membrane controls the movement of substances into and out of the cell.,Cell membrane; controls transport; selective barrier
BIO-002,Biology,M4,เซลล์,ออร์แกเนลล์,TH,concept-focused,อธิบายหน้าที่ของออร์แกเนลล์สำคัญภายในเซลล์,นิวเคลียสควบคุมการทำงานของเซลล์ ไมโทคอนเดรียสร้างพลังงาน ไรโบโซมสังเคราะห์โปรตีน และเยื่อหุ้มเซลล์ควบคุมการผ่านเข้าออกของสาร,นิวเคลียส; ไมโทคอนเดรีย; ไรโบโซม; เยื่อหุ้มเซลล์; หน้าที่ของออร์แกเนลล์
BIO-003,Biology,M4,Cell Biology,Cell Transport,EN,homework-help,Explain the difference between diffusion and osmosis.,Diffusion is the movement of particles from an area of high concentration to low concentration. Osmosis is the diffusion of water through a selectively permeable membrane from high water concentration to low water concentration.,Diffusion; Osmosis; concentration gradient; selectively permeable membrane
BIO-004,Biology,M4,ชีวโมเลกุล,สารชีวโมเลกุล,TH,exam-prep,สรุปสารชีวโมเลกุลสำคัญสำหรับเตรียมสอบ,คาร์โบไฮเดรตเป็นแหล่งพลังงานหลัก โปรตีนใช้ในการเจริญเติบโตและซ่อมแซมร่างกาย ไขมันเป็นแหล่งพลังงานสำรอง และกรดนิวคลีอิกทำหน้าที่เก็บข้อมูลทางพันธุกรรม,คาร์โบไฮเดรต; โปรตีน; ไขมัน; กรดนิวคลีอิก; หน้าที่
BIO-005,Biology,M4,Enzymes,Enzyme Function,EN,quick-answer,What is the function of enzymes?,Enzymes act as biological catalysts that speed up chemical reactions without being consumed.,Biological catalyst; increase reaction rate; not consumed
BIO-006,Biology,M4,การแบ่งเซลล์,ไมโทซิส,TH,concept-focused,อธิบายกระบวนการไมโทซิส,ไมโทซิสเป็นการแบ่งเซลล์ที่ทำให้ได้เซลล์ลูก 2 เซลล์ที่มีจำนวนโครโมโซมเท่ากับเซลล์แม่ ประกอบด้วยระยะ Prophase Metaphase Anaphase และ Telophase,ไมโทซิส; เซลล์ลูก 2 เซลล์; จำนวนโครโมโซมเท่าเดิม; PMAT
BIO-007,Biology,M4,Photosynthesis,Photosynthesis Process,EN,exam-prep,Summarize photosynthesis for exam preparation.,Photosynthesis converts light energy into chemical energy. Plants use carbon dioxide and water to produce glucose and oxygen. Chlorophyll absorbs light energy for the process.,Photosynthesis; carbon dioxide; water; glucose; oxygen; chlorophyll
BIO-008,Biology,M5,การหายใจระดับเซลล์,Cellular Respiration,TH,homework-help,อธิบายความแตกต่างระหว่างการหายใจแบบใช้ออกซิเจนและไม่ใช้ออกซิเจน,การหายใจแบบใช้ออกซิเจนใช้ O₂ และให้พลังงานมากกว่า ส่วนการหายใจแบบไม่ใช้ออกซิเจนไม่ใช้ O₂ และให้พลังงานน้อยกว่า,Aerobic respiration; Anaerobic respiration; Oxygen; ATP production
BIO-009,Biology,M5,Circulatory System,Blood Vessels,EN,quick-answer,What is the function of arteries?,Arteries carry blood away from the heart to the body tissues.,Arteries; carry blood away from heart
BIO-010,Biology,M5,ระบบประสาท,Neuron,TH,concept-focused,อธิบายโครงสร้างและหน้าที่ของเซลล์ประสาท,เซลล์ประสาทประกอบด้วยเดนไดรต์ ตัวเซลล์ และแอกซอน ทำหน้าที่รับ ส่ง และประมวลผลสัญญาณประสาท,เดนไดรต์; ตัวเซลล์; แอกซอน; ส่งสัญญาณประสาท
