id,subject,grade,topic,subtopic,language,type,question,answer,keypoints
MATH-001,Mathematics,M4,Numbers,Scientific Notation,EN,quick-answer,Convert 0.000045 into scientific notation.,Move the decimal point 5 places to the right. Therefore 0.000045 = 4.5 × 10^-5.,Scientific notation; move decimal point; coefficient between 1 and 10; final answer 4.5 × 10^-5
MATH-002,Mathematics,M4,สมการเชิงเส้น,สมการตัวแปรเดียว,TH,concept-focused,อธิบายความหมายของสมการเชิงเส้นและวิธีการแก้สมการ,สมการเชิงเส้นคือสมการที่ตัวแปรมีเลขชี้กำลังสูงสุดเป็น 1 เช่น 2x + 3 = 7 การแก้สมการคือการหาค่าของตัวแปรโดยใช้หลักการรักษาความสมดุลของสมการ กล่าวคือทำสิ่งเดียวกันทั้งสองข้างของเครื่องหมายเท่ากับจนสามารถแยกตัวแปรออกมาได้,ความหมายของสมการเชิงเส้น; ตัวแปรมีเลขชี้กำลัง 1; หลักการรักษาสมดุล; แยกตัวแปรเพื่อหาคำตอบ
MATH-003,Mathematics,M4,Systems of Equations,Two Variables,EN,homework-help,Solve the system of equations: x + y = 8 and x - y = 2.,"Add the two equations together: (x + y) + (x - y) = 8 + 2. This gives 2x = 10, so x = 5. Substitute into x + y = 8. Then 5 + y = 8, giving y = 3. Answer: x = 5 and y = 3.",Add equations; eliminate variable; solve for x; substitute back; final answer x=5 y=3
MATH-004,Mathematics,M4,Functions,Introduction to Functions,EN,exam-prep,Summarize the key concepts of functions for exam preparation.,"A function is a relation where each input has exactly one output. Important concepts include domain, range, function notation f(x), evaluating functions, and interpreting graphs. Common exam questions involve finding function values and identifying domains and ranges.",Definition of function; domain; range; function notation; graph interpretation; common exam questions
MATH-005,Mathematics,M4,อสมการ,อสมการเชิงเส้น,TH,quick-answer,แก้อสมการ 3x + 2 > 11,3x + 2 > 11 ⇒ 3x > 9 ⇒ x > 3,แก้อสมการ; ย้ายข้าง; หารด้วย 3; คำตอบ x > 3
MATH-006,Mathematics,M4,Coordinate Geometry,Distance Formula,EN,concept-focused,Explain the distance formula and where it comes from.,"The distance formula is derived from the Pythagorean theorem. For two points (x1,y1) and (x2,y2), the horizontal and vertical differences form a right triangle. Therefore the distance is d = sqrt((x2-x1)^2 + (y2-y1)^2).",Derived from Pythagorean theorem; coordinate differences; right triangle; distance formula
MATH-007,Mathematics,M4,สมการกำลังสอง,การแยกตัวประกอบ,TH,exam-prep,สรุปวิธีแก้สมการกำลังสองสำหรับเตรียมสอบ,สมการกำลังสองมีรูป ax² + bx + c = 0 วิธีแก้ได้แก่ การแยกตัวประกอบ การสมบูรณ์กำลังสอง และการใช้สูตรกำลังสอง x = (-b ± √(b² - 4ac))/(2a) ควรฝึกเลือกวิธีที่เหมาะสมกับโจทย์,รูปแบบสมการกำลังสอง; แยกตัวประกอบ; สมบูรณ์กำลังสอง; สูตรกำลังสอง; เลือกวิธีแก้
MATH-008,Mathematics,M5,เลขยกกำลังและลอการิทึม,ลอการิทึม,TH,homework-help,จงหาค่า log10(1000),จากนิยามของลอการิทึม log10(1000) = x หมายถึง 10^x = 1000 เนื่องจาก 10^3 = 1000 ดังนั้น x = 3,นิยามลอการิทึม; 10^x = 1000; x=3
MATH-009,Mathematics,M5,Sequences,Arithmetic Sequence,EN,quick-answer,"Find the 10th term of the arithmetic sequence 2, 5, 8, 11, ...",The common difference is 3. Use an = a1 + (n−1)d. Therefore a10 = 2 + (10−1)(3) = 29.,Arithmetic sequence; common difference 3; nth term formula; answer 29
MATH-010,Mathematics,M5,ตรีโกณมิติ,อัตราส่วนตรีโกณมิติ,TH,concept-focused,อธิบายความหมายของ sin cos และ tan,sin cos และ tan เป็นอัตราส่วนของด้านในสามเหลี่ยมมุมฉาก โดย sin = ด้านตรงข้าม/ด้านตรงข้ามมุมฉาก cos = ด้านประชิด/ด้านตรงข้ามมุมฉาก และ tan = ด้านตรงข้าม/ด้านประชิด ใช้ในการหาความยาวด้านหรือมุม,ความหมายของ sin cos tan; อัตราส่วนด้าน; สามเหลี่ยมมุมฉาก; การประยุกต์ใช้งาน
MATH-011,Mathematics,M5,Trigonometry,Trigonometric Identities,EN,exam-prep,Summarize important trigonometric identities for exams.,The most important identity is sin²θ + cos²θ = 1. Other common identities include tanθ = sinθ/cosθ and 1 + tan²θ = sec²θ. Students should know how to manipulate and simplify expressions using these identities.,sin²+cos²=1; tan=sin/cos; 1+tan²=sec²; simplify expressions
MATH-012,Mathematics,M5,Probability,Basic Probability,EN,homework-help,A bag contains 5 red balls and 3 blue balls. Find the probability of drawing a red ball.,Total balls = 8. Favorable outcomes = 5. Probability = 5/8.,Probability formula; favorable outcomes; total outcomes; answer 5/8
MATH-013,Mathematics,M5,สถิติ,ค่าเฉลี่ย,TH,quick-answer,"จงหาค่าเฉลี่ยของข้อมูล 2, 4, 6, 8, 10",ผลรวม = 30 จำนวนข้อมูล = 5 ดังนั้นค่าเฉลี่ย = 30/5 = 6,ผลรวมข้อมูล; จำนวนข้อมูล; ค่าเฉลี่ย = 6
MATH-014,Mathematics,M5,Vectors,Vector Basics,EN,concept-focused,Explain what a vector is and how it differs from a scalar.,"A vector has both magnitude and direction, while a scalar has magnitude only. Examples of vectors include displacement, velocity, and force. Examples of scalars include mass, temperature, and time.",Vector has magnitude and direction; scalar only magnitude; examples of vectors; examples of scalars
MATH-015,Mathematics,M6,Limits,Introduction to Limits,EN,exam-prep,Summarize the concept of limits for exam preparation.,A limit describes the value a function approaches as the input approaches a specific point. Limits are fundamental to calculus and are used to define derivatives and integrals.,Definition of limit; approaching value; foundation of calculus; derivatives and integrals
MATH-016,Mathematics,M6,อนุพันธ์,การหาอนุพันธ์,TH,homework-help,จงหาอนุพันธ์ของ f(x)=3x²+2x−1,ใช้กฎยกกำลัง จะได้ f'(x)=6x+2,Power rule; derivative of 3x² is 6x; derivative of 2x is 2; answer 6x+2
MATH-017,Mathematics,M6,Integration,Basic Integration,EN,quick-answer,Find ∫2x dx,∫2x dx = x² + C,Integration; reverse power rule; answer x²+C
